name,deviation,heartbeat,decimals,address
GHST_ETH,2%,24h,18,0x5877385f9F51B46Bbd93F24AD278D681E1Fd2A93
GLM_USD,2%,24h,8,0x83441C3A10F4D05de6e0f2E849A850Ccf27E6fa7
GNO_ETH,2%,24h,18,0xA614953dF476577E90dcf4e3428960e221EA4727
GOOGL_USD,0.5%,24h,8,0x36D39936BeA501755921beB5A382a88179070219
GRT_ETH,2%,1h,18,0x17D054eCac33D91F7340645341eFB5DE9009F1C1
GRT_USD,2%,24h,8,0x86cF33a451dE9dc61a2862FD94FF4ad4Bd65A5d2
GTC_ETH,2%,24h,18,0x0e773A17a01E2c92F5d4c53435397E2bd48e215F
GUSD_ETH,2%,24h,18,0x96d15851CBac05aEe4EFD9eA3a3DD9BDEeC9fC28
GUSD_USD,1%,1h,8,0xa89f5d2365ce98B3cD68012b6f503ab1416245Fc
HBAR_USD,2%,24h,8,0x38C5ae3ee324ee027D88c5117ee58d07c9b4699b
HEGIC_ETH,2%,24h,18,0xAf5E8D9Cd9fC85725A83BF23C52f1C39A71588a6
HEGIC_USD,2%,24h,8,0xBFC189aC214E6A4a35EBC281ad15669619b75534
HOOD-USD,0.5%,24h,8,0x3528B448a62189eb6Bf5633851b2f33147642a2a
HT_USD,2%,24h,8,0xE1329B3f6513912CAf589659777b66011AEE5880
HUSD_ETH,2%,24h,18,0x1B61BAD1495161bCb6C03DDB0E41622c0270bB1A
IDR_USD,0.5%,24h,8,0x91b99C9b75aF469a71eE1AB528e8da994A5D7030
INJ_USD,2%,24h,8,0xaE2EbE3c4D20cE13cE47cbb49b6d7ee631Cd816e
INR_USD,0.5%,24h,8,0x605D5c2fBCeDb217D7987FC0951B5753069bC360
IOST_USD,2%,24h,8,0xd0935838935349401c73a06FCde9d63f719e84E5
IWM_USD,0.5%,24h,8,0xd6Cc0819228622CcbDb5852EDbc060367E91C7a1
JPY_USD,0.15%,24h,8,0xBcE206caE7f0ec07b545EddE332A47C2F75bbeb3
KNC_ETH,2%,24h,18,0x656c0544eF4C98A6a98491833A89204Abb045d6b
KNC_USD,1%,24h,8,0xf8fF43E991A81e6eC886a3D281A2C6cC19aE70Fc
KP3R_ETH,2%,24h,18,0xe7015CCb7E5F788B8c1010FC22343473EaaC3741
KRW_USD,0.15%,24h,8,0x01435677FB11763550905594A16B645847C1d0F3
KSM_USD,2%,24h,8,0x06E4164E24E72B879D93360D1B9fA05838A62EB5
LDO_ETH,2%,24h,18,0x4e844125952D32AcdF339BE976c98E22F6F318dB
LINK_ETH,1%,6h,18,0xDC530D9457755926550b59e8ECcdaE7624181557
LINK_USD,1%,1h,8,0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c
LON_ETH,2%,24h,18,0x13A8F2cC27ccC2761ca1b21d2F3E762445f201CE
LRC_ETH,1%,24h,18,0x160AC928A16C93eD4895C2De6f81ECcE9a7eB7b4
LRC_USD,1%,24h,8,0xFd33ec6ABAa1Bdc3D9C6C85f1D6299e5a1a5511F
LTC_USD,1%,24h,8,0x6AF09DF7563C363B5763b9102712EbeD3b9e859B
LUNA_ETH,2%,24h,18,0x91E9331556ED76C9393055719986409e11b56f73
LUSD_USD,1%,24h,8,0x3D7aE7E594f2f2091Ad8798313450130d0Aba3a0
MANA_ETH,2%,24h,18,0x82A44D92D6c329826dc557c5E1Be6ebeC5D5FeB9
MASK_USD,2%,24h,8,0xE66acA0CBAb601ca933acCe6BA3Eb8D9c0A13bd7
MATIC_USD,1%,1h,8,0x7bAC85A8a13A4BcD8abb3eB7d6b4d632c5a57676
MIM_USD,0.5%,24h,8,0x7A364e8770418566e3eb2001A96116E6138Eb32F
MIR_USD,2%,24h,8,0x97e4f2Bc7231f2AFA05c51F524A80E1c8bF944e5
MKR_ETH,1%,24h,18,0x24551a8Fb2A7211A25a17B1481f043A8a8adC7f2
MKR_USD,1%,1h,8,0xec1D1B3b0443256cc3860e24a46F108e699484Aa
MLN_ETH,2%,24h,18,0xDaeA8386611A157B08829ED4997A8A62B557014C
MSFT_USD,0.5%,24h,8,0x021Fb44bfeafA0999C7b07C4791cf4B859C3b431
N225_JPY,0.5%,24h,8,0x5c4939a2ab3A2a9f93A518d81d4f8D0Bc6a68980
NEAR_USD,2%,24h,8,0xC12A6d1D827e23318266Ef16Ba6F397F2F91dA9b
NFLX_USD,0.5%,24h,8,0x67C2e69c5272B94AF3C90683a9947C39Dc605ddE
NGN_USD,0.3%,24h,8,0x3e59bc23ea3f39e69b5e662B6fC5e7e6D22B6914
NMR_ETH,2%,24h,18,0x9cB2A01A7E64992d32A34db7cEea4c919C391f6A
NMR_USD,2%,24h,8,0xcC445B35b3636bC7cC7051f4769D8982ED0d449A
NU_ETH,2%,24h,18,0xFd93C391f3a81565DaE1f6A66115C26f36A92d6D
NZD_USD,0.3%,24h,8,0x3977CFc9e4f29C184D4675f4EB8e0013236e5f3e
OCEAN_ETH,2%,24h,18,0x9b0FC4bb9981e5333689d69BdBF66351B9861E62
OCEAN_USD,2%,24h,8,0x7ece4e4E206eD913D991a074A19C192142726797
OGN_ETH,2%,24h,18,0x2c881B6f3f6B5ff6C975813F87A4dad0b241C15b
OHM_ETH,2%,24h,18,0x90c2098473852E2F07678Fe1B6d595b1bd9b16Ed
OKB_USD,2%,24h,8,0x22134617Ae0f6CA8D89451e5Ae091c94f7D743DC
OM_USD,1%,24h,8,0xb9583cfBdEeacd2705546F392E43F8E03eB92216
OMG_ETH,2%,24h,18,0x57C9aB3e56EE4a83752c181f241120a3DBba06a1
OMG_USD,2%,24h,8,0x7D476f061F8212A8C9317D5784e72B4212436E93
ONT_USD,2%,24h,8,0xcDa3708C5c2907FCca52BB3f9d3e4c2028b89319
ORN_ETH,2%,24h,18,0xbA9B2a360eb8aBdb677d6d7f27E12De11AA052ef
OXT_USD,5%,24h,8,0xd75AAaE4AF0c398ca13e2667Be57AF2ccA8B5de6
Orchid,200%,24h,5,0xa175FA75795c6Fb2aFA48B72d22054ee0DeDa4aC
PAX_ETH,2%,24h,18,0x3a08ebBaB125224b7b6474384Ee39fBb247D2200
PAX_RESERVES,2%,24h,8,0xf482Ed35406933F321f293aC0e4c6c8f59a22fA5
PAXG_ETH,2%,24h,18,0x9B97304EA12EFed0FAd976FBeCAad46016bf269e
PAXG_RESERVES,2%,24h,8,0x716BB8c60D409e54b8Fb5C4f6aBC50E794DA048a
PERP_ETH,2%,24h,18,0x3b41D5571468904D4e53b6a8d93A6BaC43f02dC9
PERP_USD,2%,24h,8,0x01cE1210Fe8153500F60f7131d63239373D7E26C
PHP_USD,0.3%,24h,8,0x9481e7ad8BE6BbB22A8B9F7B9fB7588d1df65DF6
PLA_USD,2%,12h,8,0xbc535B134DdF81fc83254a3D0Ed2C0C60144405E
PUNDIX_USD,2%,24h,8,0x552dDBEf6f5a1316aec3E30Db6afCD433548dbF3
QQQ_USD,0.5%,24h,8,0x6b54e83f44047d2168a195ABA5e9b768762167b5
RAI_ETH,2%,24h,18,0x4ad7B025127e89263242aB68F0f9c4E5C033B489
RAI_USD,1%,24h,8,0x483d36F6a1d063d580c7a24F9A42B346f3a69fbb
RAMP_USD,2%,24h,8,0x4EA6Ec4C1691C62623122B213572b2be5A618C0d
RARI_ETH,2%,24h,18,0x2a784368b1D492f458Bf919389F42c18315765F5
REN_ETH,2%,24h,18,0x3147D7203354Dc06D9fd350c7a2437bcA92387a4
REN_USD,1%,24h,8,0x0f59666EDE214281e956cb3b2D0d69415AfF4A01
REP_ETH,2%,24h,18,0xD4CE430C3b67b3E2F7026D86E7128588629e2455
REP_USD,1%,1h,8,0xF9FCC6E1186Acf6529B1c1949453f51B4B6eEE67
