name,deviation,heartbeat,decimals,address
INJ_USD,2%,24h,8,0xae2ebe3c4d20ce13ce47cbb49b6d7ee631cd816e
INR_USD,0.5%,24h,8,0x605d5c2fbcedb217d7987fc0951b5753069bc360
IOST_USD,2%,24h,8,0xd0935838935349401c73a06fcde9d63f719e84e5
IWM_USD,0.5%,24h,8,0xd6cc0819228622ccbdb5852edbc060367e91c7a1
JPY_USD,0.15%,24h,8,0xbce206cae7f0ec07b545edde332a47c2f75bbeb3
KNC_ETH,2%,24h,18,0x656c0544ef4c98a6a98491833a89204abb045d6b
KNC_USD,1%,24h,8,0xf8ff43e991a81e6ec886a3d281a2c6cc19ae70fc
KP3R_ETH,2%,24h,18,0xe7015ccb7e5f788b8c1010fc22343473eaac3741
KRW_USD,0.15%,24h,8,0x01435677fb11763550905594a16b645847c1d0f3
KSM_USD,2%,24h,8,0x06e4164e24e72b879d93360d1b9fa05838a62eb5
LDO_ETH,2%,24h,18,0x4e844125952d32acdf339be976c98e22f6f318db
LINK_ETH,1%,6h,18,0xdc530d9457755926550b59e8eccdae7624181557
LINK_USD,1%,1h,8,0x2c1d072e956affc0d435cb7ac38ef18d24d9127c
LON_ETH,2%,24h,18,0x13a8f2cc27ccc2761ca1b21d2f3e762445f201ce
LRC_ETH,1%,24h,18,0x160ac928a16c93ed4895c2de6f81ecce9a7eb7b4
LRC_USD,1%,24h,8,0xfd33ec6abaa1bdc3d9c6c85f1d6299e5a1a5511f
LTC_USD,1%,24h,8,0x6af09df7563c363b5763b9102712ebed3b9e859b
LUNA_ETH,2%,24h,18,0x91e9331556ed76c9393055719986409e11b56f73
LUSD_USD,1%,24h,8,0x3d7ae7e594f2f2091ad8798313450130d0aba3a0
MANA_ETH,2%,24h,18,0x82a44d92d6c329826dc557c5e1be6ebec5d5feb9
MASK_USD,2%,24h,8,0xe66aca0cbab601ca933acce6ba3eb8d9c0a13bd7
MATIC_USD,1%,1h,8,0x7bac85a8a13a4bcd8abb3eb7d6b4d632c5a57676
MIM_USD,0.5%,24h,8,0x7a364e8770418566e3eb2001a96116e6138eb32f
MIR_USD,2%,24h,8,0x97e4f2bc7231f2afa05c51f524a80e1c8bf944e5
MKR_ETH,1%,24h,18,0x24551a8fb2a7211a25a17b1481f043a8a8adc7f2
MKR_USD,1%,1h,8,0xec1d1b3b0443256cc3860e24a46f108e699484aa
MLN_ETH,2%,24h,18,0xdaea8386611a157b08829ed4997a8a62b557014c
MSFT_USD,0.5%,24h,8,0x021fb44bfeafa0999c7b07c4791cf4b859c3b431
N225_JPY,0.5%,24h,8,0x5c4939a2ab3a2a9f93a518d81d4f8d0bc6a68980
NEAR_USD,2%,24h,8,0xc12a6d1d827e23318266ef16ba6f397f2f91da9b
NFLX_USD,0.5%,24h,8,0x67c2e69c5272b94af3c90683a9947c39dc605dde
NGN_USD,0.3%,24h,8,0x3e59bc23ea3f39e69b5e662b6fc5e7e6d22b6914
NMR_ETH,2%,24h,18,0x9cb2a01a7e64992d32a34db7ceea4c919c391f6a
NMR_USD,2%,24h,8,0xcc445b35b3636bc7cc7051f4769d8982ed0d449a
NU_ETH,2%,24h,18,0xfd93c391f3a81565dae1f6a66115c26f36a92d6d
NZD_USD,0.3%,24h,8,0x3977cfc9e4f29c184d4675f4eb8e0013236e5f3e
OCEAN_ETH,2%,24h,18,0x9b0fc4bb9981e5333689d69bdbf66351b9861e62
OCEAN_USD,2%,24h,8,0x7ece4e4e206ed913d991a074a19c192142726797
OGN_ETH,2%,24h,18,0x2c881b6f3f6b5ff6c975813f87a4dad0b241c15b
OHM_ETH,2%,24h,18,0x90c2098473852e2f07678fe1b6d595b1bd9b16ed
OKB_USD,2%,24h,8,0x22134617ae0f6ca8d89451e5ae091c94f7d743dc
OM_USD,1%,24h,8,0xb9583cfbdeeacd2705546f392e43f8e03eb92216
OMG_ETH,2%,24h,18,0x57c9ab3e56ee4a83752c181f241120a3dbba06a1
OMG_USD,2%,24h,8,0x7d476f061f8212a8c9317d5784e72b4212436e93
ONT_USD,2%,24h,8,0xcda3708c5c2907fcca52bb3f9d3e4c2028b89319
ORN_ETH,2%,24h,18,0xba9b2a360eb8abdb677d6d7f27e12de11aa052ef
OXT_USD,5%,24h,8,0xd75aaae4af0c398ca13e2667be57af2cca8b5de6
Orchid,200%,24h,5,0xa175fa75795c6fb2afa48b72d22054ee0deda4ac
PAX_ETH,2%,24h,18,0x3a08ebbab125224b7b6474384ee39fbb247d2200
PAX_RESERVES,2%,24h,8,0xf482ed35406933f321f293ac0e4c6c8f59a22fa5
PAXG_ETH,2%,24h,18,0x9b97304ea12efed0fad976fbecaad46016bf269e
PAXG_RESERVES,2%,24h,8,0x716bb8c60d409e54b8fb5c4f6abc50e794da048a
PERP_ETH,2%,24h,18,0x3b41d5571468904d4e53b6a8d93a6bac43f02dc9
PERP_USD,2%,24h,8,0x01ce1210fe8153500f60f7131d63239373d7e26c
PHP_USD,0.3%,24h,8,0x9481e7ad8be6bbb22a8b9f7b9fb7588d1df65df6
PLA_USD,2%,12h,8,0xbc535b134ddf81fc83254a3d0ed2c0c60144405e
PUNDIX_USD,2%,24h,8,0x552ddbef6f5a1316aec3e30db6afcd433548dbf3
QQQ_USD,0.5%,24h,8,0x6b54e83f44047d2168a195aba5e9b768762167b5
RAI_ETH,2%,24h,18,0x4ad7b025127e89263242ab68f0f9c4e5c033b489
RAI_USD,1%,24h,8,0x483d36f6a1d063d580c7a24f9a42b346f3a69fbb
RAMP_USD,2%,24h,8,0x4ea6ec4c1691c62623122b213572b2be5a618c0d
RARI_ETH,2%,24h,18,0x2a784368b1d492f458bf919389f42c18315765f5
REN_ETH,2%,24h,18,0x3147d7203354dc06d9fd350c7a2437bca92387a4
REN_USD,1%,24h,8,0x0f59666ede214281e956cb3b2d0d69415aff4a01
REP_ETH,2%,24h,18,0xd4ce430c3b67b3e2f7026d86e7128588629e2455
REP_USD,1%,1h,8,0xf9fcc6e1186acf6529b1c1949453f51b4b6eee67
REQ_USD,2%,24h,8,0x2f05888d185970f178f40610306a0cc305e52bbf
RGT_ETH,2%,24h,18,0xc16935b445f4bdc172e408433c8f7101bbbbe368
RLC_ETH,2%,24h,18,0x4cba1e1fdc738d0fe8db3ee07728e2bc4da676c6
RSR_USD,2%,24h,8,0x759bbc1be8f90ee6457c44abc7d443842a976d02
RUB_USD,0.5%,24h,8,0x73a11e47325e3c9b6a48b8ed48ee0ba89109fb75
RUNE_ETH,2%,24h,18,0x875d60c44cfbc38baa4eb2ddb76a767deb91b97e
RUNE_USD,1%,24h,8,0x48731cf7e84dc94c5f84577882c14be11a5b7456
SAND_USD,2%,24h,8,0x35e3f7e558c04ce7eee1629258ecbba03b36ec56
SGD_USD,0.15%,24h,8,0xe25277ff4bbf9081c75ab0eb13b4a13a721f3e13
SHIB_ETH,2%,24h,18,0x8dd1cd88f43af196ae478e91b9f5e4ac69a97c61
SLP_ETH,2%,24h,18,0x5efe7b8304fa77bb72031203189c0be0f5596801
SNX_ETH,2%,24h,18,0x79291a9d692df95334b1a0b3b4ae6bc606782f8c
SNX_USD,1%,24h,8,0xdc3ea94cd0ac27d9a86c180091e7f78c683d3699
SOL_USD,2%,24h,8,0x4ffc43a60e009b551865a93d232e33fce9f01507
SPELL_USD,1%,24h,8,0x8c110b94c5f1d347facf5e1e938ab2db60e3c9a8
SPY_USD,0.5%,24h,8,0x065b8808087c2d7a3c104e276c80fe6fc1b47f1c
SRM_ETH,2%,24h,18,0x050c048c9a0cd0e76f166e2539f87ef2accec58f
STAKE_ETH,2%,24h,18,0xa1ffc11eaa62d34c3b3272270aecf9d879773b32
STMX_USD,2%,24h,8,0x00a773bd2ce922f866bb43ab876009fb959d7c29
SUSD_ETH,1%,24h,18,0x8e0b7e6062272b5ef4524250bfff8e5bd3497757
SUSHI_ETH,2%,24h,18,0xe572cef69f43c2e488b33924af04bdace19079cf
SUSHI_USD,1%,1h,8,0xcc70f09a6cc17553b2e31954cd36e4a2d89501f7
SXP_USD,1%,24h,8,0xfb0cfd6c19e25db4a08d8a204a387cea48cc138f
TOKE_USD,2%,24h,8,0x104cd02b2f22972e8d8542867a36bdeda4f104d8
TOMO_USD,2%,24h,8,0x3d44925a8e9f9dfd90390e58e92ec16c996a331b
TRIBE_ETH,2%,24h,18,0x84a24deca415acc0c395872a9e6a63e27d6225c8
TRU_USD,2%,24h,8,0x26929b85fe284eeab939831002e1928183a10fb1
TRX_USD,1%,24h,8,0xacd0d1a29759cc01e8d925371b72cb2b5610ea25
TRY_USD,0.5%,24h,8,0xb09fc5fd3f11cf9eb5e1c5dba43114e3c9f477b5
TSLA_USD,0.5%,24h,8,0x1cedaab50936881b3e449e47e40a2cdaf5576a4a
TUSD_ETH,1%,24h,18,0x3886ba987236181d98f2401c507fb8bea7871df2
TUSD Reserves,5%,24h,8,0x478f4c42b877c697c4b19e396865d4d533ecb6ea
TUSD Supply,5%,24h,8,0x807b029dd462d5d9b9db45dff90d3414013b969e
Total Marketcap_USD,1%,24h,8,0xec8761a0a73c34329ca5b1d3dc7ed07f30e836e2
UFT_USD,2%,24h,8,0x2788330dc1ee04cffab7804a151ef4807880e143
UMA_ETH,2%,24h,18,0xf817b69ea583caff291e287cae00ea329d22765c
UNI_ETH,2%,24h,18,0xd6aa3d25116d8da79ea0246c4826eb951872e02e
UNI_USD,1%,1h,8,0x553303d460ee0afb37edff9be42922d8ff63220e
USDC_ETH,1%,24h,18,0x986b5e1e1755e3c2440e960477f25201b0a8bbd4
USDC_USD,0.5%,24h,8,0x8fffffd4afb6115b954bd326cbe7b4ba576818f6
USDK_USD,1%,24h,8,0xfac81ea9dd29d8e9b212acd6edbeb6de38cb43af
USDN_USD,0.5%,24h,8,0x7a8544894f7fd0c69cfcbe2b4b2e277b0b9a4355
USDP_USD,1%,1h,8,0x09023c0da49aaf8fc3fa3adf34c6a7016d38d5e3
USDT_ETH,1%,24h,18,0xee9f2375b4bdf6387aa8265dd4fb8f16512a1d46
USDT_USD,0.5%,24h,8,0x3e7d1eab13ad0104d2750b8863b489d65364e32d
UST_ETH,2%,24h,18,0xa20623070413d42a5c01db2c8111640dd7a5a03a
UST_USD,0.3%,24h,8,0x8b6d9085f310396c6e4f0012783e9f850eaa8a82
VXX_USD,10%,24h,8,0xc18f2a0c166a091fcd5e2051efefd63c4f4a27e9
